Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16642228k(9220620k free), swap 20705460k(9769332k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.217: [GC (Allocation Failure) 0.217: [DefNew: 959K->63K(960K), 0.0008051 secs] 12662K->12144K(524224K), 0.0008487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.222: [GC (Allocation Failure) 0.222: [DefNew: 959K->63K(960K), 0.0006906 secs] 13066K->12474K(524224K), 0.0007258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.225: [GC (Allocation Failure) 0.225: [DefNew: 959K->63K(960K), 0.0008524 secs] 13390K->12796K(524224K), 0.0009016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.229: [GC (Allocation Failure) 0.229: [DefNew: 959K->63K(960K), 0.0006817 secs] 13716K->13109K(524224K), 0.0007267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.234: [GC (Allocation Failure) 0.234: [DefNew: 959K->63K(960K), 0.0009053 secs] 14025K->13445K(524224K), 0.0009772 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.237: [GC (Allocation Failure) 0.237: [DefNew: 959K->63K(960K), 0.0013088 secs] 14366K->13972K(524224K), 0.0013700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.242: [GC (Allocation Failure) 0.242: [DefNew: 959K->63K(960K), 0.0010759 secs] 14876K->14498K(524224K), 0.0011232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.244: [GC (Allocation Failure) 0.244: [DefNew: 959K->63K(960K), 0.0010551 secs] 15409K->14934K(524224K), 0.0011001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.248: [GC (Allocation Failure) 0.248: [DefNew: 959K->63K(960K), 0.0010323 secs] 15849K->15334K(524224K), 0.0010838 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.254: [GC (Allocation Failure) 0.254: [DefNew: 959K->63K(960K), 0.0010119 secs] 16506K->15912K(524224K), 0.0010625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
